RUN	scala.simulations.Fomula1	fomula1	1683925556151	 	3.3.1
USER	Proxima carrera F1	2	START	1683925557359	1683925557359
USER	Proxima carrera F1	22	START	1683925557363	1683925557363
USER	Proxima carrera F1	9	START	1683925557359	1683925557359
USER	Proxima carrera F1	23	START	1683925557364	1683925557364
USER	Proxima carrera F1	5	START	1683925557359	1683925557359
USER	Proxima carrera F1	21	START	1683925557363	1683925557363
USER	Proxima carrera F1	13	START	1683925557360	1683925557360
USER	Proxima carrera F1	12	START	1683925557360	1683925557360
USER	Proxima carrera F1	16	START	1683925557360	1683925557360
USER	Proxima carrera F1	10	START	1683925557360	1683925557360
USER	Todas las temporadas	102	START	1683925557466	1683925557466
USER	Proxima carrera F1	30	START	1683925557466	1683925557466
USER	Proxima carrera F1	29	START	1683925557466	1683925557466
USER	Proxima carrera F1	25	START	1683925557466	1683925557466
USER	Proxima carrera F1	31	START	1683925557466	1683925557466
USER	Proxima carrera F1	35	START	1683925557466	1683925557466
USER	Proxima carrera F1	36	START	1683925557467	1683925557467
USER	Proxima carrera F1	28	START	1683925557466	1683925557466
USER	Proxima carrera F1	26	START	1683925557466	1683925557466
USER	Proxima carrera F1	27	START	1683925557466	1683925557466
USER	Proxima carrera F1	38	START	1683925557467	1683925557467
USER	Proxima carrera F1	32	START	1683925557466	1683925557466
USER	Proxima carrera F1	34	START	1683925557466	1683925557466
USER	Proxima carrera F1	40	START	1683925557467	1683925557467
USER	Proxima carrera F1	41	START	1683925557467	1683925557467
USER	Proxima carrera F1	37	START	1683925557467	1683925557467
USER	Proxima carrera F1	42	START	1683925557467	1683925557467
USER	Proxima carrera F1	43	START	1683925557468	1683925557468
USER	Proxima carrera F1	48	START	1683925557468	1683925557468
USER	Proxima carrera F1	45	START	1683925557468	1683925557468
USER	Proxima carrera F1	47	START	1683925557468	1683925557468
USER	Proxima carrera F1	46	START	1683925557468	1683925557468
USER	Proxima carrera F1	39	START	1683925557467	1683925557467
USER	Proxima carrera F1	50	START	1683925557468	1683925557468
USER	Proxima carrera F1	51	START	1683925557468	1683925557468
USER	Proxima carrera F1	54	START	1683925557469	1683925557469
USER	Proxima carrera F1	55	START	1683925557469	1683925557469
USER	Proxima carrera F1	56	START	1683925557469	1683925557469
USER	Proxima carrera F1	58	START	1683925557469	1683925557469
USER	Proxima carrera F1	52	START	1683925557468	1683925557468
USER	Proxima carrera F1	57	START	1683925557469	1683925557469
USER	Proxima carrera F1	59	START	1683925557469	1683925557469
USER	Proxima carrera F1	49	START	1683925557468	1683925557468
USER	Proxima carrera F1	61	START	1683925557470	1683925557470
USER	Proxima carrera F1	60	START	1683925557470	1683925557470
USER	Proxima carrera F1	44	START	1683925557468	1683925557468
USER	Proxima carrera F1	64	START	1683925557470	1683925557470
USER	Proxima carrera F1	62	START	1683925557470	1683925557470
USER	Proxima carrera F1	66	START	1683925557470	1683925557470
USER	Proxima carrera F1	68	START	1683925557470	1683925557470
USER	Proxima carrera F1	63	START	1683925557470	1683925557470
USER	Proxima carrera F1	70	START	1683925557471	1683925557471
USER	Proxima carrera F1	69	START	1683925557470	1683925557470
USER	Proxima carrera F1	72	START	1683925557471	1683925557471
USER	Proxima carrera F1	71	START	1683925557471	1683925557471
USER	Proxima carrera F1	73	START	1683925557471	1683925557471
USER	Proxima carrera F1	74	START	1683925557471	1683925557471
USER	Proxima carrera F1	75	START	1683925557471	1683925557471
USER	Proxima carrera F1	76	START	1683925557471	1683925557471
USER	Proxima carrera F1	67	START	1683925557470	1683925557470
USER	Proxima carrera F1	78	START	1683925557472	1683925557472
USER	Proxima carrera F1	79	START	1683925557472	1683925557472
USER	Proxima carrera F1	82	START	1683925557472	1683925557472
USER	Proxima carrera F1	80	START	1683925557472	1683925557472
USER	Proxima carrera F1	83	START	1683925557472	1683925557472
USER	Proxima carrera F1	77	START	1683925557471	1683925557471
USER	Proxima carrera F1	8	START	1683925557359	1683925557359
USER	Proxima carrera F1	84	START	1683925557472	1683925557472
USER	Proxima carrera F1	86	START	1683925557472	1683925557472
USER	Proxima carrera F1	87	START	1683925557472	1683925557472
USER	Proxima carrera F1	90	START	1683925557473	1683925557473
USER	Proxima carrera F1	89	START	1683925557473	1683925557473
USER	Proxima carrera F1	88	START	1683925557473	1683925557473
USER	Proxima carrera F1	85	START	1683925557472	1683925557472
USER	Proxima carrera F1	92	START	1683925557473	1683925557473
USER	Proxima carrera F1	81	START	1683925557472	1683925557472
USER	Proxima carrera F1	95	START	1683925557473	1683925557473
USER	Proxima carrera F1	93	START	1683925557473	1683925557473
USER	Proxima carrera F1	98	START	1683925557474	1683925557474
USER	Proxima carrera F1	97	START	1683925557474	1683925557474
USER	Proxima carrera F1	99	START	1683925557474	1683925557474
USER	Proxima carrera F1	96	START	1683925557474	1683925557474
USER	Proxima carrera F1	91	START	1683925557473	1683925557473
USER	Proxima carrera F1	94	START	1683925557473	1683925557473
USER	Todas las temporadas	101	START	1683925557474	1683925557474
USER	Proxima carrera F1	100	START	1683925557474	1683925557474
USER	Proxima carrera F1	20	START	1683925557363	1683925557363
USER	Proxima carrera F1	65	START	1683925557470	1683925557470
USER	Proxima carrera F1	33	START	1683925557466	1683925557466
USER	Proxima carrera F1	7	START	1683925557359	1683925557359
USER	Proxima carrera F1	17	START	1683925557360	1683925557360
USER	Proxima carrera F1	18	START	1683925557363	1683925557363
USER	Proxima carrera F1	15	START	1683925557360	1683925557360
USER	Proxima carrera F1	14	START	1683925557360	1683925557360
USER	Proxima carrera F1	6	START	1683925557359	1683925557359
USER	Proxima carrera F1	1	START	1683925557359	1683925557359
USER	Proxima carrera F1	24	START	1683925557383	1683925557383
USER	Proxima carrera F1	4	START	1683925557359	1683925557359
USER	Proxima carrera F1	3	START	1683925557359	1683925557359
USER	Proxima carrera F1	11	START	1683925557360	1683925557360
USER	Proxima carrera F1	19	START	1683925557363	1683925557363
USER	Proxima carrera F1	53	START	1683925557469	1683925557469
USER	Todas las temporadas	103	START	1683925557490	1683925557490
USER	Todas las temporadas	104	START	1683925557535	1683925557535
USER	Todas las temporadas	105	START	1683925557595	1683925557595
USER	Todas las temporadas	106	START	1683925557670	1683925557670
USER	Todas las temporadas	107	START	1683925557719	1683925557719
USER	Todas las temporadas	108	START	1683925557778	1683925557778
USER	Todas las temporadas	109	START	1683925557842	1683925557842
USER	Todas las temporadas	110	START	1683925557913	1683925557913
USER	Todas las temporadas	111	START	1683925557950	1683925557950
USER	Todas las temporadas	112	START	1683925558016	1683925558016
REQUEST	24		Proxima carrera F1	1683925557453	1683925557955	OK	 
REQUEST	13		Proxima carrera F1	1683925557453	1683925557956	OK	 
REQUEST	5		Proxima carrera F1	1683925557453	1683925557961	OK	 
REQUEST	16		Proxima carrera F1	1683925557453	1683925557955	OK	 
REQUEST	9		Proxima carrera F1	1683925557453	1683925557970	OK	 
REQUEST	4		Proxima carrera F1	1683925557453	1683925557963	OK	 
REQUEST	31		Proxima carrera F1	1683925557466	1683925558034	OK	 
REQUEST	12		Proxima carrera F1	1683925557453	1683925557956	OK	 
REQUEST	19		Proxima carrera F1	1683925557453	1683925558039	OK	 
REQUEST	7		Proxima carrera F1	1683925557453	1683925557955	OK	 
REQUEST	8		Proxima carrera F1	1683925557453	1683925558050	OK	 
REQUEST	29		Proxima carrera F1	1683925557466	1683925558050	OK	 
REQUEST	28		Proxima carrera F1	1683925557466	1683925558050	OK	 
REQUEST	21		Proxima carrera F1	1683925557454	1683925558050	OK	 
REQUEST	41		Proxima carrera F1	1683925557468	1683925558050	OK	 
REQUEST	20		Proxima carrera F1	1683925557453	1683925558051	OK	 
REQUEST	37		Proxima carrera F1	1683925557468	1683925558051	OK	 
REQUEST	25		Proxima carrera F1	1683925557466	1683925558051	OK	 
REQUEST	15		Proxima carrera F1	1683925557453	1683925558051	OK	 
REQUEST	23		Proxima carrera F1	1683925557453	1683925558052	OK	 
USER	Todas las temporadas	113	START	1683925558075	1683925558075
REQUEST	48		Proxima carrera F1	1683925557468	1683925558077	OK	 
REQUEST	3		Proxima carrera F1	1683925557454	1683925558096	OK	 
REQUEST	32		Proxima carrera F1	1683925557467	1683925558103	OK	 
REQUEST	17		Proxima carrera F1	1683925557454	1683925558110	OK	 
USER	Todas las temporadas	114	START	1683925558135	1683925558135
REQUEST	36		Proxima carrera F1	1683925557467	1683925558155	OK	 
USER	Todas las temporadas	115	START	1683925558195	1683925558195
USER	Todas las temporadas	116	START	1683925558257	1683925558257
USER	Todas las temporadas	117	START	1683925558319	1683925558319
REQUEST	35		Proxima carrera F1	1683925557467	1683925558333	OK	 
USER	Todas las temporadas	118	START	1683925558381	1683925558381
USER	Todas las temporadas	119	START	1683925558427	1683925558427
USER	Todas las temporadas	120	START	1683925558490	1683925558490
USER	Todas las temporadas	121	START	1683925558553	1683925558553
USER	Todas las temporadas	122	START	1683925558615	1683925558615
USER	Todas las temporadas	123	START	1683925558665	1683925558665
USER	Todas las temporadas	124	START	1683925558725	1683925558725
USER	Todas las temporadas	125	START	1683925558788	1683925558788
REQUEST	40		Proxima carrera F1	1683925557468	1683925558848	OK	 
USER	Todas las temporadas	126	START	1683925558850	1683925558850
USER	Todas las temporadas	127	START	1683925558913	1683925558913
REQUEST	1		Proxima carrera F1	1683925557454	1683925558951	OK	 
USER	Todas las temporadas	128	START	1683925558961	1683925558961
USER	Todas las temporadas	129	START	1683925559024	1683925559024
USER	Todas las temporadas	130	START	1683925559075	1683925559075
USER	Todas las temporadas	131	START	1683925559135	1683925559135
USER	Todas las temporadas	132	START	1683925559196	1683925559196
USER	Todas las temporadas	133	START	1683925559259	1683925559259
USER	Todas las temporadas	134	START	1683925559322	1683925559322
USER	Todas las temporadas	135	START	1683925559386	1683925559386
USER	Todas las temporadas	136	START	1683925559432	1683925559432
USER	Todas las temporadas	137	START	1683925559495	1683925559495
USER	Todas las temporadas	138	START	1683925559557	1683925559557
USER	Todas las temporadas	139	START	1683925559618	1683925559618
USER	Todas las temporadas	140	START	1683925559681	1683925559681
USER	Todas las temporadas	141	START	1683925559745	1683925559745
USER	Todas las temporadas	142	START	1683925559805	1683925559805
USER	Todas las temporadas	143	START	1683925559868	1683925559868
REQUEST	57		Proxima carrera F1	1683925557470	1683925559907	OK	 
USER	Todas las temporadas	144	START	1683925559930	1683925559930
USER	Todas las temporadas	145	START	1683925559995	1683925559995
USER	Todas las temporadas	146	START	1683925560055	1683925560055
USER	Todas las temporadas	147	START	1683925560118	1683925560118
REQUEST	51		Proxima carrera F1	1683925557469	1683925560135	OK	 
USER	Todas las temporadas	148	START	1683925560180	1683925560180
REQUEST	55		Proxima carrera F1	1683925557469	1683925560201	OK	 
USER	Todas las temporadas	149	START	1683925560245	1683925560245
REQUEST	52		Proxima carrera F1	1683925557469	1683925560248	OK	 
USER	Todas las temporadas	150	START	1683925560305	1683925560305
USER	Todas las temporadas	151	START	1683925560368	1683925560368
USER	Todas las temporadas	152	START	1683925560414	1683925560414
USER	Todas las temporadas	153	START	1683925560465	1683925560465
USER	Todas las temporadas	154	START	1683925560525	1683925560525
