ASSERTION	AAEBAAEFAAAAAAAAAAAA
RUN	scala.simulations.ObtenerZorros	obtenerzorros	1683907410650	 	3.3.1
USER	Usuario Estandar	10	START	1683907411975	1683907411975
USER	Usuario Estandar	2	START	1683907411968	1683907411968
USER	Usuario Estandar	4	START	1683907411968	1683907411968
USER	Usuario Avanzado	11	START	1683907411978	1683907411978
USER	Usuario Estandar	1	START	1683907411968	1683907411968
USER	Usuario Estandar	3	START	1683907411968	1683907411968
USER	Usuario Estandar	6	START	1683907411968	1683907411968
USER	Usuario Estandar	7	START	1683907411968	1683907411968
USER	Usuario Estandar	9	START	1683907411975	1683907411975
USER	Usuario Estandar	5	START	1683907411968	1683907411968
USER	Usuario Estandar	8	START	1683907411975	1683907411975
REQUEST	7		PeticionZorros	1683907412023	1683907412383	OK	 
REQUEST	4		PeticionZorros	1683907412023	1683907412391	OK	 
REQUEST	8		PeticionZorros	1683907412023	1683907412391	OK	 
REQUEST	5		PeticionZorros	1683907412023	1683907412389	OK	 
REQUEST	2		PeticionZorros	1683907412023	1683907412385	OK	 
REQUEST	6		PeticionZorros	1683907412023	1683907412409	OK	 
REQUEST	10		PeticionZorros	1683907412023	1683907412388	OK	 
REQUEST	9		PeticionZorros	1683907412023	1683907412383	OK	 
REQUEST	11		PeticionZorros	1683907412023	1683907412406	OK	 
REQUEST	3		PeticionZorros	1683907412023	1683907412396	OK	 
REQUEST	1		PeticionZorros	1683907412023	1683907412389	OK	 
USER	Usuario Avanzado	12	START	1683907412467	1683907412467
REQUEST	12		PeticionZorros	1683907412468	1683907412824	OK	 
USER	Usuario Avanzado	13	START	1683907412967	1683907412967
REQUEST	13		PeticionZorros	1683907412968	1683907413321	OK	 
USER	Usuario Avanzado	14	START	1683907413475	1683907413475
REQUEST	14		PeticionZorros	1683907413476	1683907413765	OK	 
USER	Usuario Avanzado	15	START	1683907413973	1683907413973
REQUEST	15		PeticionZorros	1683907413974	1683907414323	OK	 
USER	Usuario Avanzado	11	END	1683907411978	1683907414431
USER	Usuario Avanzado	16	START	1683907414487	1683907414487
REQUEST	16		PeticionZorros	1683907414488	1683907414757	OK	 
USER	Usuario Avanzado	12	END	1683907412467	1683907414831
USER	Usuario Avanzado	17	START	1683907414988	1683907414988
REQUEST	17		PeticionZorros	1683907414989	1683907415286	OK	 
USER	Usuario Avanzado	13	END	1683907412967	1683907415345
USER	Usuario Avanzado	18	START	1683907415484	1683907415484
REQUEST	18		PeticionZorros	1683907415485	1683907415753	OK	 
USER	Usuario Avanzado	14	END	1683907413475	1683907415780
USER	Usuario Avanzado	19	START	1683907415982	1683907415982
REQUEST	19		PeticionZorros	1683907415983	1683907416246	OK	 
USER	Usuario Avanzado	15	END	1683907413973	1683907416338
USER	Usuario Avanzado	20	START	1683907416494	1683907416494
REQUEST	20		PeticionZorros	1683907416495	1683907416767	OK	 
USER	Usuario Avanzado	16	END	1683907414487	1683907416777
USER	Usuario Avanzado	21	START	1683907416992	1683907416992
REQUEST	21		PeticionZorros	1683907416993	1683907417267	OK	 
USER	Usuario Avanzado	17	END	1683907414988	1683907417290
USER	Usuario Estandar	9	END	1683907411975	1683907417414
USER	Usuario Estandar	2	END	1683907411968	1683907417414
USER	Usuario Estandar	7	END	1683907411968	1683907417414
USER	Usuario Estandar	8	END	1683907411975	1683907417414
USER	Usuario Estandar	4	END	1683907411968	1683907417415
USER	Usuario Estandar	1	END	1683907411968	1683907417416
USER	Usuario Estandar	5	END	1683907411968	1683907417416
USER	Usuario Estandar	3	END	1683907411968	1683907417417
USER	Usuario Estandar	10	END	1683907411975	1683907417417
USER	Usuario Estandar	6	END	1683907411968	1683907417428
USER	Usuario Avanzado	22	START	1683907417475	1683907417475
REQUEST	22		PeticionZorros	1683907417476	1683907417759	OK	 
USER	Usuario Avanzado	18	END	1683907415484	1683907417770
USER	Usuario Avanzado	23	START	1683907417970	1683907417970
REQUEST	23		PeticionZorros	1683907417971	1683907418243	OK	 
USER	Usuario Avanzado	19	END	1683907415982	1683907418251
USER	Usuario Avanzado	24	START	1683907418485	1683907418485
USER	Usuario Avanzado	20	END	1683907416494	1683907418781
REQUEST	24		PeticionZorros	1683907418485	1683907418822	OK	 
USER	Usuario Avanzado	25	START	1683907418982	1683907418982
REQUEST	25		PeticionZorros	1683907418983	1683907419242	OK	 
USER	Usuario Avanzado	21	END	1683907416992	1683907419277
USER	Usuario Avanzado	26	START	1683907419467	1683907419467
USER	Usuario Avanzado	22	END	1683907417475	1683907419777
REQUEST	26		PeticionZorros	1683907419468	1683907419806	OK	 
USER	Usuario Avanzado	27	START	1683907419975	1683907419975
REQUEST	27		PeticionZorros	1683907419976	1683907420258	OK	 
USER	Usuario Avanzado	23	END	1683907417970	1683907420258
USER	Usuario Avanzado	28	START	1683907420460	1683907420460
REQUEST	28		PeticionZorros	1683907420461	1683907420722	OK	 
USER	Usuario Avanzado	24	END	1683907418485	1683907420833
USER	Usuario Avanzado	29	START	1683907420959	1683907420959
REQUEST	29		PeticionZorros	1683907420960	1683907421227	OK	 
USER	Usuario Avanzado	25	END	1683907418982	1683907421255
USER	Usuario Avanzado	30	START	1683907421471	1683907421471
REQUEST	30		PeticionZorros	1683907421472	1683907421726	OK	 
USER	Usuario Avanzado	26	END	1683907419467	1683907421813
USER	Usuario Avanzado	27	END	1683907419975	1683907422278
USER	Usuario Avanzado	28	END	1683907420460	1683907422734
USER	Usuario Avanzado	29	END	1683907420959	1683907423251
USER	Usuario Avanzado	30	END	1683907421471	1683907423737
