ASSERTION	AAEBAAEFAAAAAAAAAD5A
RUN	scala.simulations.ObtenerZorros	obtenerzorros	1683907617475	 	3.3.1
USER	Usuario Estandar	8	START	1683907618769	1683907618769
USER	Usuario Estandar	7	START	1683907618761	1683907618761
USER	Usuario Estandar	9	START	1683907618769	1683907618769
USER	Usuario Estandar	6	START	1683907618761	1683907618761
USER	Usuario Estandar	2	START	1683907618760	1683907618760
USER	Usuario Estandar	4	START	1683907618760	1683907618760
USER	Usuario Estandar	10	START	1683907618769	1683907618769
USER	Usuario Estandar	3	START	1683907618760	1683907618760
USER	Usuario Avanzado	11	START	1683907618773	1683907618773
USER	Usuario Estandar	1	START	1683907618760	1683907618760
USER	Usuario Estandar	5	START	1683907618760	1683907618760
USER	Usuario Avanzado	12	START	1683907619274	1683907619274
REQUEST	9		PeticionZorros	1683907618820	1683907619256	OK	 
REQUEST	5		PeticionZorros	1683907618820	1683907619247	OK	 
REQUEST	2		PeticionZorros	1683907618820	1683907619232	OK	 
REQUEST	7		PeticionZorros	1683907618820	1683907619239	OK	 
REQUEST	6		PeticionZorros	1683907618820	1683907619243	OK	 
REQUEST	1		PeticionZorros	1683907618820	1683907619250	OK	 
REQUEST	8		PeticionZorros	1683907618820	1683907619243	OK	 
REQUEST	11		PeticionZorros	1683907618820	1683907619253	OK	 
REQUEST	10		PeticionZorros	1683907618820	1683907619238	OK	 
REQUEST	3		PeticionZorros	1683907618820	1683907619243	OK	 
REQUEST	4		PeticionZorros	1683907618820	1683907619225	OK	 
REQUEST	12		PeticionZorros	1683907619275	1683907619604	OK	 
USER	Usuario Avanzado	13	START	1683907619773	1683907619773
REQUEST	13		PeticionZorros	1683907619774	1683907620112	OK	 
USER	Usuario Avanzado	14	START	1683907620273	1683907620273
REQUEST	14		PeticionZorros	1683907620274	1683907620539	OK	 
USER	Usuario Avanzado	15	START	1683907620774	1683907620774
REQUEST	15		PeticionZorros	1683907620774	1683907621035	OK	 
USER	Usuario Avanzado	16	START	1683907621280	1683907621280
USER	Usuario Avanzado	11	END	1683907618773	1683907621284
REQUEST	16		PeticionZorros	1683907621281	1683907621549	OK	 
USER	Usuario Avanzado	12	END	1683907619274	1683907621623
USER	Usuario Avanzado	17	START	1683907621779	1683907621779
USER	Usuario Avanzado	13	END	1683907619773	1683907622123
REQUEST	17		PeticionZorros	1683907621780	1683907622130	OK	 
USER	Usuario Avanzado	18	START	1683907622261	1683907622261
REQUEST	18		PeticionZorros	1683907622262	1683907622527	OK	 
USER	Usuario Avanzado	14	END	1683907620273	1683907622557
USER	Usuario Avanzado	19	START	1683907622761	1683907622761
USER	Usuario Avanzado	15	END	1683907620774	1683907623058
REQUEST	19		PeticionZorros	1683907622761	1683907623086	OK	 
USER	Usuario Avanzado	20	START	1683907623261	1683907623261
USER	Usuario Avanzado	16	END	1683907621280	1683907623572
REQUEST	20		PeticionZorros	1683907623262	1683907623603	OK	 
USER	Usuario Avanzado	21	START	1683907623757	1683907623757
REQUEST	21		PeticionZorros	1683907623758	1683907624009	OK	 
USER	Usuario Avanzado	17	END	1683907621779	1683907624150
USER	Usuario Estandar	4	END	1683907618760	1683907624243
USER	Usuario Estandar	2	END	1683907618760	1683907624258
USER	Usuario Estandar	7	END	1683907618761	1683907624263
USER	Usuario Estandar	6	END	1683907618761	1683907624263
USER	Usuario Estandar	10	END	1683907618769	1683907624263
USER	Usuario Estandar	8	END	1683907618769	1683907624263
USER	Usuario Estandar	3	END	1683907618760	1683907624264
USER	Usuario Estandar	9	END	1683907618769	1683907624274
USER	Usuario Estandar	1	END	1683907618760	1683907624274
USER	Usuario Estandar	5	END	1683907618760	1683907624274
USER	Usuario Avanzado	22	START	1683907624274	1683907624274
USER	Usuario Avanzado	18	END	1683907622261	1683907624553
REQUEST	22		PeticionZorros	1683907624275	1683907624599	OK	 
USER	Usuario Avanzado	23	START	1683907624773	1683907624773
REQUEST	23		PeticionZorros	1683907624774	1683907625051	OK	 
USER	Usuario Avanzado	19	END	1683907622761	1683907625097
USER	Usuario Avanzado	24	START	1683907625273	1683907625273
REQUEST	24		PeticionZorros	1683907625274	1683907625535	OK	 
USER	Usuario Avanzado	20	END	1683907623261	1683907625630
USER	Usuario Avanzado	25	START	1683907625773	1683907625773
USER	Usuario Avanzado	21	END	1683907623757	1683907626019
REQUEST	25		PeticionZorros	1683907625774	1683907626060	OK	 
USER	Usuario Avanzado	26	START	1683907626282	1683907626282
USER	Usuario Avanzado	22	END	1683907624274	1683907626612
REQUEST	26		PeticionZorros	1683907626283	1683907626613	OK	 
USER	Usuario Avanzado	27	START	1683907626773	1683907626773
REQUEST	27		PeticionZorros	1683907626774	1683907627015	OK	 
USER	Usuario Avanzado	23	END	1683907624773	1683907627053
USER	Usuario Avanzado	28	START	1683907627273	1683907627273
REQUEST	28		PeticionZorros	1683907627274	1683907627548	OK	 
USER	Usuario Avanzado	24	END	1683907625273	1683907627562
USER	Usuario Avanzado	29	START	1683907627780	1683907627780
USER	Usuario Avanzado	25	END	1683907625773	1683907628078
REQUEST	29		PeticionZorros	1683907627781	1683907628118	OK	 
USER	Usuario Avanzado	30	START	1683907628263	1683907628263
REQUEST	30		PeticionZorros	1683907628264	1683907628545	OK	 
USER	Usuario Avanzado	26	END	1683907626282	1683907628636
USER	Usuario Avanzado	27	END	1683907626773	1683907629027
USER	Usuario Avanzado	28	END	1683907627273	1683907629570
USER	Usuario Avanzado	29	END	1683907627780	1683907630133
USER	Usuario Avanzado	30	END	1683907628263	1683907630568
