RUN	scala.simulations.ObtenerZorrosV2	obtenerzorrosv2	1683913118671	 	3.3.1
USER	Usuario Estandar	1	START	1683913120030	1683913120030
USER	Usuario Estandar	2	START	1683913120132	1683913120132
USER	Usuario Estandar	3	START	1683913120239	1683913120239
USER	Usuario Estandar	4	START	1683913120332	1683913120332
USER	Usuario Estandar	5	START	1683913120441	1683913120441
USER	Usuario Estandar	6	START	1683913120532	1683913120532
REQUEST	1		PeticionZorros	1683913120061	1683913120512	OK	 
USER	Usuario Estandar	1	END	1683913120030	1683913120544
USER	Usuario Estandar	7	START	1683913120642	1683913120642
USER	Usuario Estandar	8	START	1683913120735	1683913120735
USER	Usuario Estandar	9	START	1683913120832	1683913120832
USER	Usuario Estandar	10	START	1683913120940	1683913120940
USER	Usuario Estandar	11	START	1683913121034	1683913121034
USER	Usuario Estandar	12	START	1683913121143	1683913121143
USER	Usuario Estandar	13	START	1683913121236	1683913121236
USER	Usuario Estandar	14	START	1683913121332	1683913121332
REQUEST	2		PeticionZorros	1683913121003	1683913121377	OK	 
USER	Usuario Estandar	2	END	1683913120132	1683913121379
USER	Usuario Estandar	15	START	1683913121439	1683913121439
USER	Usuario Estandar	16	START	1683913121533	1683913121533
USER	Usuario Estandar	17	START	1683913121642	1683913121642
USER	Usuario Estandar	18	START	1683913121735	1683913121735
USER	Usuario Estandar	19	START	1683913121841	1683913121841
REQUEST	3		PeticionZorros	1683913121533	1683913121876	OK	 
USER	Usuario Estandar	3	END	1683913120239	1683913121878
USER	Usuario Estandar	20	START	1683913121934	1683913121934
USER	Usuario Estandar	21	START	1683913122032	1683913122032
USER	Usuario Estandar	22	START	1683913122123	1683913122123
USER	Usuario Estandar	23	START	1683913122232	1683913122232
USER	Usuario Estandar	24	START	1683913122325	1683913122325
REQUEST	4		PeticionZorros	1683913122013	1683913122362	OK	 
USER	Usuario Estandar	4	END	1683913120332	1683913122363
USER	Usuario Estandar	25	START	1683913122422	1683913122422
USER	Usuario Estandar	26	START	1683913122527	1683913122527
USER	Usuario Estandar	27	START	1683913122622	1683913122622
USER	Usuario Estandar	28	START	1683913122730	1683913122730
REQUEST	5		PeticionZorros	1683913122372	1683913122731	OK	 
USER	Usuario Estandar	5	END	1683913120441	1683913122733
USER	Usuario Estandar	29	START	1683913122822	1683913122822
USER	Usuario Estandar	30	START	1683913122932	1683913122932
USER	Usuario Estandar	31	START	1683913123025	1683913123025
REQUEST	6		PeticionZorros	1683913122702	1683913123071	OK	 
USER	Usuario Estandar	6	END	1683913120532	1683913123072
USER	Usuario Estandar	32	START	1683913123132	1683913123132
USER	Usuario Estandar	33	START	1683913123242	1683913123242
USER	Usuario Estandar	34	START	1683913123335	1683913123335
REQUEST	7		PeticionZorros	1683913123013	1683913123345	OK	 
USER	Usuario Estandar	7	END	1683913120642	1683913123346
USER	Usuario Estandar	35	START	1683913123432	1683913123432
USER	Usuario Estandar	36	START	1683913123537	1683913123537
REQUEST	8		PeticionZorros	1683913123288	1683913123557	OK	 
USER	Usuario Estandar	8	END	1683913120735	1683913123559
USER	Usuario Estandar	37	START	1683913123632	1683913123632
USER	Usuario Estandar	38	START	1683913123740	1683913123740
USER	Usuario Estandar	39	START	1683913123833	1683913123833
REQUEST	9		PeticionZorros	1683913123537	1683913123917	OK	 
USER	Usuario Estandar	9	END	1683913120832	1683913123918
USER	Usuario Estandar	40	START	1683913123942	1683913123942
USER	Usuario Estandar	41	START	1683913124035	1683913124035
REQUEST	10		PeticionZorros	1683913123787	1683913124081	OK	 
USER	Usuario Estandar	10	END	1683913120940	1683913124082
USER	Usuario Estandar	42	START	1683913124129	1683913124129
USER	Usuario Estandar	43	START	1683913124223	1683913124223
USER	Usuario Estandar	44	START	1683913124333	1683913124333
USER	Usuario Estandar	45	START	1683913124426	1683913124426
REQUEST	11		PeticionZorros	1683913124020	1683913124437	OK	 
USER	Usuario Estandar	11	END	1683913121034	1683913124438
REQUEST	12		PeticionZorros	1683913124223	1683913124504	OK	 
USER	Usuario Estandar	12	END	1683913121143	1683913124505
USER	Usuario Estandar	46	START	1683913124522	1683913124522
USER	Usuario Estandar	47	START	1683913124646	1683913124646
REQUEST	13		PeticionZorros	1683913124426	1683913124700	OK	 
USER	Usuario Estandar	13	END	1683913121236	1683913124701
USER	Usuario Estandar	48	START	1683913124742	1683913124742
USER	Usuario Estandar	49	START	1683913124847	1683913124847
REQUEST	14		PeticionZorros	1683913124631	1683913124885	OK	 
USER	Usuario Estandar	14	END	1683913121332	1683913124887
