RUN	scala.simulations.simulation_1	simulation-1	1683747474389	Todos los perros	3.3.1
USER	Obtene todos los perros	2	START	1683747475974	1683747475974
USER	Obtene todos los perros	5	START	1683747475975	1683747475975
USER	Obtene todos los perros	3	START	1683747475974	1683747475974
USER	Obtene todos los perros	6	START	1683747475974	1683747475974
USER	Obtene todos los perros	10	START	1683747475975	1683747475975
USER	Obtene todos los perros	7	START	1683747475975	1683747475975
USER	Obtene todos los perros	8	START	1683747475975	1683747475975
USER	Obtene todos los perros	4	START	1683747475974	1683747475974
USER	Obtene todos los perros	1	START	1683747475974	1683747475974
USER	Obtene todos los perros	9	START	1683747475975	1683747475975
REQUEST	5		Obtener_Todos_Los_Perros	1683747476019	1683747476399	OK	 
REQUEST	7		Obtener_Todos_Los_Perros	1683747476019	1683747476476	OK	 
REQUEST	4		Obtener_Todos_Los_Perros	1683747476019	1683747476498	OK	 
REQUEST	3		Obtener_Todos_Los_Perros	1683747476019	1683747476513	OK	 
REQUEST	2		Obtener_Todos_Los_Perros	1683747476019	1683747476513	OK	 
REQUEST	10		Obtener_Todos_Los_Perros	1683747476019	1683747476514	OK	 
REQUEST	6		Obtener_Todos_Los_Perros	1683747476019	1683747476514	OK	 
REQUEST	1		Obtener_Todos_Los_Perros	1683747476019	1683747476515	OK	 
REQUEST	8		Obtener_Todos_Los_Perros	1683747476019	1683747477119	OK	 
REQUEST	9		Obtener_Todos_Los_Perros	1683747476019	1683747477856	OK	 
USER	Obtene todos los perros	5	END	1683747475975	1683747479418
USER	Obtene todos los perros	7	END	1683747475975	1683747479499
USER	Obtene todos los perros	4	END	1683747475974	1683747479514
USER	Obtene todos los perros	3	END	1683747475974	1683747479526
USER	Obtene todos los perros	6	END	1683747475974	1683747479526
USER	Obtene todos los perros	2	END	1683747475974	1683747479526
USER	Obtene todos los perros	10	END	1683747475975	1683747479526
USER	Obtene todos los perros	1	END	1683747475974	1683747479526
USER	Obtene todos los perros	8	END	1683747475975	1683747480140
USER	Obtene todos los perros	9	END	1683747475975	1683747480879
