RUN	scala.simulations.simulation_1	simulation-1	1683748221530	prueba5	3.3.1
USER	Obtene todos los perros	1	START	1683748222909	1683748222909
USER	Obtene todos los perros	2	START	1683748222989	1683748222989
USER	Obtene todos los perros	3	START	1683748223066	1683748223066
USER	Obtene todos los perros	4	START	1683748223147	1683748223147
USER	Obtene todos los perros	5	START	1683748223215	1683748223215
USER	Obtene todos los perros	6	START	1683748223300	1683748223300
USER	Obtene todos los perros	7	START	1683748223379	1683748223379
REQUEST	1		Obtener_Todos_Los_Perros	1683748222944	1683748223368	OK	 
USER	Obtene todos los perros	1	END	1683748222909	1683748223405
USER	Obtene todos los perros	8	START	1683748223447	1683748223447
REQUEST	3		Obtener_Todos_Los_Perros	1683748223067	1683748223469	OK	 
USER	Obtene todos los perros	3	END	1683748223066	1683748223470
USER	Obtene todos los perros	9	START	1683748223526	1683748223526
REQUEST	4		Obtener_Todos_Los_Perros	1683748223148	1683748223585	OK	 
USER	Obtene todos los perros	4	END	1683748223147	1683748223587
USER	Obtene todos los perros	10	START	1683748223606	1683748223606
REQUEST	5		Obtener_Todos_Los_Perros	1683748223216	1683748223626	OK	 
USER	Obtene todos los perros	5	END	1683748223215	1683748223627
USER	Obtene todos los perros	11	START	1683748223676	1683748223676
REQUEST	6		Obtener_Todos_Los_Perros	1683748223301	1683748223717	OK	 
USER	Obtene todos los perros	6	END	1683748223300	1683748223718
USER	Obtene todos los perros	12	START	1683748223759	1683748223759
REQUEST	9		Obtener_Todos_Los_Perros	1683748223527	1683748223821	OK	 
USER	Obtene todos los perros	9	END	1683748223526	1683748223823
USER	Obtene todos los perros	13	START	1683748223838	1683748223838
USER	Obtene todos los perros	14	START	1683748223916	1683748223916
USER	Obtene todos los perros	15	START	1683748223999	1683748223999
REQUEST	10		Obtener_Todos_Los_Perros	1683748223607	1683748224045	OK	 
USER	Obtene todos los perros	10	END	1683748223606	1683748224047
USER	Obtene todos los perros	16	START	1683748224080	1683748224080
USER	Obtene todos los perros	17	START	1683748224165	1683748224165
REQUEST	12		Obtener_Todos_Los_Perros	1683748223760	1683748224166	OK	 
USER	Obtene todos los perros	12	END	1683748223759	1683748224167
USER	Obtene todos los perros	18	START	1683748224245	1683748224245
REQUEST	13		Obtener_Todos_Los_Perros	1683748223838	1683748224272	OK	 
USER	Obtene todos los perros	13	END	1683748223838	1683748224273
REQUEST	2		Obtener_Todos_Los_Perros	1683748222990	1683748224278	OK	 
USER	Obtene todos los perros	2	END	1683748222989	1683748224279
REQUEST	14		Obtener_Todos_Los_Perros	1683748223917	1683748224331	OK	 
USER	Obtene todos los perros	19	START	1683748224332	1683748224332
USER	Obtene todos los perros	14	END	1683748223916	1683748224332
USER	Obtene todos los perros	20	START	1683748224419	1683748224419
REQUEST	15		Obtener_Todos_Los_Perros	1683748224000	1683748224429	OK	 
USER	Obtene todos los perros	15	END	1683748223999	1683748224431
REQUEST	16		Obtener_Todos_Los_Perros	1683748224081	1683748224486	OK	 
USER	Obtene todos los perros	16	END	1683748224080	1683748224488
USER	Obtene todos los perros	21	START	1683748224500	1683748224500
REQUEST	18		Obtener_Todos_Los_Perros	1683748224245	1683748224577	OK	 
USER	Obtene todos los perros	18	END	1683748224245	1683748224578
USER	Obtene todos los perros	22	START	1683748224578	1683748224578
