RUN	scala.simulations.simulation_1	simulation-1	1683748362663	 	3.3.1
USER	Obtene todos los perros	13	START	1683748363786	1683748363786
USER	Obtene todos los perros	17	START	1683748363795	1683748363795
USER	Obtene todos los perros	2	START	1683748363784	1683748363784
USER	Obtene todos los perros	7	START	1683748363785	1683748363785
USER	Obtene todos los perros	12	START	1683748363786	1683748363786
USER	Obtene todos los perros	19	START	1683748363795	1683748363795
USER	Obtene todos los perros	9	START	1683748363785	1683748363785
USER	Obtene todos los perros	8	START	1683748363785	1683748363785
USER	Obtene todos los perros	15	START	1683748363786	1683748363786
USER	Obtene todos los perros	27	START	1683748363879	1683748363879
USER	Obtene todos los perros	31	START	1683748363879	1683748363879
USER	Obtene todos los perros	29	START	1683748363879	1683748363879
USER	Obtene todos los perros	30	START	1683748363879	1683748363879
USER	Obtene todos los perros	28	START	1683748363879	1683748363879
USER	Obtene todos los perros	1	START	1683748363784	1683748363784
USER	Obtene todos los perros	25	START	1683748363879	1683748363879
USER	Obtene todos los perros	26	START	1683748363879	1683748363879
USER	Obtene todos los perros	33	START	1683748363879	1683748363879
USER	Obtene todos los perros	32	START	1683748363879	1683748363879
USER	Obtene todos los perros	35	START	1683748363879	1683748363879
USER	Obtene todos los perros	36	START	1683748363879	1683748363879
USER	Obtene todos los perros	38	START	1683748363879	1683748363879
USER	Obtene todos los perros	34	START	1683748363879	1683748363879
USER	Obtene todos los perros	37	START	1683748363879	1683748363879
USER	Obtene todos los perros	39	START	1683748363880	1683748363880
USER	Obtene todos los perros	41	START	1683748363880	1683748363880
USER	Obtene todos los perros	42	START	1683748363880	1683748363880
USER	Obtene todos los perros	40	START	1683748363880	1683748363880
USER	Obtene todos los perros	43	START	1683748363880	1683748363880
USER	Obtene todos los perros	45	START	1683748363880	1683748363880
USER	Obtene todos los perros	46	START	1683748363880	1683748363880
USER	Obtene todos los perros	44	START	1683748363880	1683748363880
USER	Obtene todos los perros	48	START	1683748363880	1683748363880
USER	Obtene todos los perros	47	START	1683748363880	1683748363880
USER	Obtene todos los perros	49	START	1683748363880	1683748363880
USER	Obtene todos los perros	50	START	1683748363880	1683748363880
USER	Obtene todos los perros	51	START	1683748363880	1683748363880
USER	Obtene todos los perros	52	START	1683748363880	1683748363880
