RUN	scala.simulations.simulationPerros	simulationperros	1683836139226	 	3.3.1
USER	S_ObtenerListadoPerros	1	START	1683836140746	1683836140746
USER	S_ObtenerListadoPerros	2	START	1683836141010	1683836141010
REQUEST	1		R_ObtenerListadoPerros	1683836140788	1683836141306	OK	 
USER	S_ObtenerListadoPerros	1	END	1683836140746	1683836141333
USER	S_ObtenerListadoPerros	3	START	1683836141429	1683836141429
REQUEST	2		R_ObtenerListadoPerros	1683836141011	1683836141447	OK	 
USER	S_ObtenerListadoPerros	2	END	1683836141010	1683836141448
USER	S_ObtenerListadoPerros	4	START	1683836141582	1683836141582
USER	S_ObtenerListadoPerros	5	START	1683836141770	1683836141770
REQUEST	3		R_ObtenerListadoPerros	1683836141430	1683836141857	OK	 
USER	S_ObtenerListadoPerros	3	END	1683836141429	1683836141858
REQUEST	4		R_ObtenerListadoPerros	1683836141584	1683836141912	OK	 
USER	S_ObtenerListadoPerros	4	END	1683836141582	1683836141913
USER	S_ObtenerListadoPerros	6	START	1683836142034	1683836142034
REQUEST	5		R_ObtenerListadoPerros	1683836141771	1683836142192	OK	 
USER	S_ObtenerListadoPerros	5	END	1683836141770	1683836142194
REQUEST	6		R_ObtenerListadoPerros	1683836142036	1683836142489	OK	 
USER	S_ObtenerListadoPerros	6	END	1683836142034	1683836142491
USER	S_ObtenerListadoPerros	7	START	1683836142531	1683836142531
USER	S_ObtenerListadoPerros	8	START	1683836142719	1683836142719
USER	S_ObtenerListadoPerros	9	START	1683836142748	1683836142748
USER	S_ObtenerListadoPerros	10	START	1683836142779	1683836142779
USER	S_ObtenerListadoPerros	11	START	1683836142919	1683836142919
REQUEST	7		R_ObtenerListadoPerros	1683836142532	1683836142973	OK	 
USER	S_ObtenerListadoPerros	7	END	1683836142531	1683836142975
REQUEST	10		R_ObtenerListadoPerros	1683836142779	1683836143094	OK	 
USER	S_ObtenerListadoPerros	10	END	1683836142779	1683836143096
REQUEST	8		R_ObtenerListadoPerros	1683836142720	1683836143148	OK	 
USER	S_ObtenerListadoPerros	8	END	1683836142719	1683836143150
REQUEST	9		R_ObtenerListadoPerros	1683836142749	1683836143179	OK	 
USER	S_ObtenerListadoPerros	9	END	1683836142748	1683836143181
USER	S_ObtenerListadoPerros	12	START	1683836143184	1683836143184
REQUEST	11		R_ObtenerListadoPerros	1683836142920	1683836143357	OK	 
USER	S_ObtenerListadoPerros	11	END	1683836142919	1683836143358
REQUEST	12		R_ObtenerListadoPerros	1683836143185	1683836143498	OK	 
USER	S_ObtenerListadoPerros	12	END	1683836143184	1683836143499
USER	S_ObtenerListadoPerros	13	START	1683836143620	1683836143620
USER	S_ObtenerListadoPerros	14	START	1683836143698	1683836143698
USER	S_ObtenerListadoPerros	15	START	1683836143715	1683836143715
REQUEST	15		R_ObtenerListadoPerros	1683836143716	1683836144007	OK	 
USER	S_ObtenerListadoPerros	15	END	1683836143715	1683836144009
REQUEST	13		R_ObtenerListadoPerros	1683836143621	1683836144047	OK	 
USER	S_ObtenerListadoPerros	13	END	1683836143620	1683836144049
REQUEST	14		R_ObtenerListadoPerros	1683836143700	1683836144111	OK	 
USER	S_ObtenerListadoPerros	14	END	1683836143698	1683836144114
USER	S_ObtenerListadoPerros	16	START	1683836144199	1683836144199
USER	S_ObtenerListadoPerros	17	START	1683836144600	1683836144600
USER	S_ObtenerListadoPerros	18	START	1683836144619	1683836144619
REQUEST	16		R_ObtenerListadoPerros	1683836144200	1683836144625	OK	 
USER	S_ObtenerListadoPerros	16	END	1683836144199	1683836144627
USER	S_ObtenerListadoPerros	19	START	1683836144632	1683836144632
